"first_name","last_name","email","phone","address","gender","age","registered","orders","spent","job","hobbies","is_married"
"Joseph","Hernandez","josephhernandez496@slingacademy.com","221-465-0888x064","7913 Watson Station Apt. 861 Michaelchester WY 29884","male","41","2021-05-06","14","682.03","Chef","Watching movies","False"
"Steven","Little","stevenlittle308@slingacademy.com","(879)355-4470x670","5268 Billy Glen Lake Katieview NV 47445","male","69","2021-09-29","18","371.65","Unemployed","Dancing","True"
"John","Bennett","johnbennett349@slingacademy.com","+1-636-078-0848x89601","352 Kramer Pine Alexisville LA 73816","male","32","2023-01-31","4","864.18","Politician","Playing musical instruments","False"
"Michele","Maxwell","michelemaxwell399@slingacademy.com","8543899544","Unit 6738 Box 4421 DPO AA 83594","female","80","2019-08-18","2","670.75","Polic","Traveling","False"
"Emily","Thomas","emilythomas235@slingacademy.com","001-006-358-6967","5732 Pedro Cliff Christopherton PR 77837","female","74","2019-12-23","13","312.94","Pilot","Cycling","False"
"Mark","Rogers","markrogers742@slingacademy.com","822-783-6078","3716 Bowen Courts North Ericfort NV 79361","male","22","2022-05-04","9","269.44","Artist","Dancing","False"
"John","Cruz","johncruz574@slingacademy.com","201-772-5754x23993","6419 Scott Streets Christinehaven VI 84128","male","76","2023-07-23","16","430.46","Hairdresser","Collecting","False"
"David","Yoder","davidyoder542@slingacademy.com","994-857-8142","178 Shawna Forge Elizabethside NH 45291","male","79","2021-07-18","18","91.25","Clerk","Traveling","True"
"James","Reynolds","jamesreynolds483@slingacademy.com","+1-248-862-3329x725","1763 Murphy Trace Apt. 572 Martinezfort NC 61264","male","29","2023-01-08","20","807.5","Teacher","Hunting","False"
"Stephanie","Hicks","stephaniehicks386@slingacademy.com","775-548-2891x2689","134 Garcia Shores New Kennethbury NH 90734","female","53","2019-12-15","10","26.95","Student","Gardening","False"
"Paul","Brown","paulbrown927@slingacademy.com","025-529-0040x3086","81623 James Ville Apt. 514 South Janice NH 60175","male","78","2018-10-06","17","110.35","Chef","Yoga","True"
"Alexandra","Morales","alexandramorales748@slingacademy.com","832-491-3697","764 Julia Shores Apt. 728 South Paulahaven MS 91165","female","73","2019-01-12","19","659.86","Barber","Fishing","False"
"Krystal","Carroll","krystalcarroll951@slingacademy.com","232-615-4804x2640","PSC 3921, Box 4313 APO AP 10337","female","43","2023-07-30","9","945.92","Athlete","Playing musical instruments","True"
"Alyssa","Walker","alyssawalker255@slingacademy.com","013-078-8928x46126","6351 Stevens Viaduct Apt. 798 Angelaview NJ 85260","female","35","2020-04-08","11","412.39","Athlete","Writing","True"
"Eric","Harvey","ericharvey127@slingacademy.com","(506)434-8876x9307","7654 Delgado Ford Youngview KS 11812","male","52","2020-06-26","18","9.47","Clerk","Drawing","False"
"Debbie","Rogers","debbierogers865@slingacademy.com","(189)103-9259x37127","22244 Jonathan Ville Danielbury PR 03888","female","76","2019-09-29","0","903.68","Unkown","Singing","False"
"Steve","Braun","stevebraun545@slingacademy.com","3089011299","4596 Steven Keys North Stephanieland AS 20567","male","72","2022-11-02","19","872.8","Unkown","Drawing","False"
"Ryan","Rojas","ryanrojas819@slingacademy.com","001-064-950-2432x770","Unit 8903 Box 0540 DPO AP 81820","male","51","2020-01-13","2","179.05","Waitress","Traveling","False"
"Carl","Acosta","carlacosta740@slingacademy.com","+1-183-389-0336x962","Unit 2581 Box 3388 DPO AA 71544","male","50","2020-01-27","20","456.16","Teacher","Hiking","False"
